dataset,k,method,tradeoff,risk,return,active_count,hhi,effective_n,top1_share,top3_share
port3,4,weighted_sum,balanced,0.0005937934040834538,0.0067614590960748695,4,0.30596035401240096,3.2683973164688807,0.4021109628,0.9104975959
port3,4,weighted_sum,max_return,0.0015099877513256113,0.008203276000045863,4,0.9940120000000001,1.0060240721439981,0.997,0.999
port3,4,epsilon_constraint,min_risk,0.00035636489684472025,0.0050650112101928045,4,0.29884908045394143,3.346170577071994,0.4031888923,0.8597071531
port3,4,epsilon_constraint,balanced,0.0006852159249199654,0.007043776994087257,4,0.36070005231199576,2.77238662315199,0.5211356676,0.9322059461
port3,4,epsilon_constraint,max_return,0.0014521339369732865,0.008158159274136463,4,0.9305424180714088,1.0746420373533805,0.9641039988,0.999
port3,4,nsga2,min_risk,0.00026549568151723905,0.0032652146972141755,4,0.25647108127361257,3.8990750732366743,0.3187475805,0.7826129459
port3,4,nsga2,balanced,0.00043530301432834857,0.005833224785732784,4,0.27311561324811473,3.6614530678315322,0.332372353,0.8739685286000001
port3,4,nsga2,max_return,0.0007359593317701601,0.007117091349846742,4,0.3205447965457623,3.1196887635555046,0.4748356601,0.8695530473
port3,8,weighted_sum,min_risk,0.00021712605652985214,0.002548994077218438,8,0.13828691279474814,7.2313422853270755,0.1915206955,0.5002079429999999
port3,8,weighted_sum,balanced,0.0005576177483979948,0.006648269209503413,8,0.2359857274573736,4.237544409039023,0.396348484,0.7311606263
port3,8,weighted_sum,max_return,0.0015006808787679181,0.008190906000076393,8,0.986056,1.0141411846791661,0.993,0.995
port3,8,epsilon_constraint,min_risk,0.0003182218759408054,0.005047302565342257,8,0.14840278006998425,6.738418239391586,0.2348023136,0.5323613378000001
port3,8,epsilon_constraint,balanced,0.0006320464699626036,0.006908183584184873,8,0.288264620134626,3.4690348039692753,0.4600993397,0.8089926177
port3,8,epsilon_constraint,max_return,0.0012146456706656956,0.007932627973301304,8,0.7077502399011083,1.4129278149587443,0.8334652521,0.995
port3,8,nsga2,min_risk,0.0002468363025447154,0.003691377573960409,8,0.15202656883413113,6.577797602543091,0.2146815015,0.5808528837
port3,8,nsga2,balanced,0.0004867079053840008,0.00632206524274954,8,0.19311307299593236,5.178313329523079,0.3405037884,0.6312921359
port3,8,nsga2,max_return,0.0010807435374982162,0.007659765624021492,8,0.6522754148671276,1.533094728403501,0.7992608464,0.9552289744999999
port4,16,weighted_sum,min_risk,0.00012698590808323196,0.00202997497258477,16,0.08995784510725426,11.116317857633513,0.2047043049,0.367972991
port4,16,weighted_sum,balanced,0.0007166881885320524,0.007479162336177159,16,0.17197550097129846,5.8147817238624775,0.2962624085,0.6018789457
port4,16,weighted_sum,max_return,0.0028712569274324698,0.009143504000067281,16,0.9702400000000001,1.0306728232189972,0.985,0.987
port4,16,epsilon_constraint,min_risk,0.00023263862868168943,0.004810114535306323,16,0.07888768040011618,12.676250523884427,0.149115685,0.3365743181
port4,16,epsilon_constraint,balanced,0.0005876772946716468,0.0070640588115107265,16,0.13969598039055,7.158402104371837,0.2518455972,0.5093637454
port4,16,epsilon_constraint,max_return,0.001247033212474328,0.008498215611429391,16,0.2515916848679142,3.9746941578176584,0.3143601447,0.7949385859000001
port4,16,nsga2,min_risk,0.00015531961032665928,0.0029412980619230675,16,0.07215551071833162,13.85895533195835,0.1166399877,0.32200061900000004
port4,16,nsga2,balanced,0.0003192309883707382,0.005581673613409555,16,0.08770305081098263,11.402111907773849,0.1722922236,0.40592816079999994
port4,16,nsga2,max_return,0.0006619168281541343,0.007083818530310047,16,0.1258337295852761,7.946994842287586,0.230285297,0.5315728179
